,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
building_apotheosis_wiseguy,Press $0 to impart your wisdom into the spell,,,,,,,,,,,,,
building_apotheosis_calligraphy_desk,Press $0 dissect your books into pages,,,,,,,,,,,,,
building_apotheosis_whisp_lantern,Press $0 to ignite the lantern,,,,,,,,,,,,,
building_apotheosis_seed_tinker_remove,Press $0 to dislodge the seed from its roots,,,,,,,,,,,,,
building_apotheosis_seed_tinker_return,Press $0 to return the seed,,,,,,,,,,,,,
biome_fungiforest_aprilfools,Wandmart,,,,,,,,,,,,,
tuonela_desc,"You can only win by Ascension, and can not visit parallel worlds.\n\n",,,,,,,,,,,,,
damage_apotheosis_divine_light,Divine Light,,,,,,,,,,,,,
damage_apotheosis_blackhole_small,Micro Blackhole,,,,,,,,,,,,,
damage_apotheosis_extreme_vacuum,Extreme Vacuum,,,,,,,,,,,,,
material_apotheosis_sweat,Sweat,,,,,,,,,,,,,
material_apotheosis_spirit_powder,Spirit Powder,,,,,,,,,,,,,
material_apotheosis_baldium,Baldium,,,,,,,,,,,,,
material_apotheosis_corruptflesh_hard,Scarred Flesh,,,,,,,,,,,,,
enemy_apotheosis_constellation_jellyfish,Tähdistö Meduusat,,,,,,,,,,,,DO NOT TRANSLATE,
spell_apotheosis_random_arc_name,Random Arc,,,,,,,,,,,,,
spell_apotheosis_random_arc_desc,Spray and Pray. Also has some magical properties...,,,,,,,,,,,,,
spell_apotheosis_if_random_name,Requirement - Arbitrary,,,,,,,,,,,,,
spell_apotheosis_if_random_desc,"The next spell is skipped if an arbitrary requirement, decided at complete random, does not occur.",,,,,,,,,,,,,
spell_apotheosis_spellbook_glyph_name,Glyph,,,,,,,,,,,,,
spell_apotheosis_spellbook_glyph_desc,"A simple glyph without any special properties",,,,,,,,,,,,,
spell_apotheosis_sea_ominous_name,Sea of Ominous Liquid,,,,,,,,,,,,,
spell_apotheosis_sea_ominous_desc,Summons a large body of ominous liquid below the caster,,,,,,,,,,,,,
spell_apotheosis_fae_lantern_name,Whisp Lantern,,,,,,,,,,,,,
spell_apotheosis_fae_lantern_desc,"Summons a short-lived whisp trapped within a lantern, exhausting the whisps flame and conjuring it towards nearby enemies.",,,,,,,,,,,,,
spell_apotheosis_hover_orbit_name,Whispy Orbit,,,,,,,,,,,,,
spell_apotheosis_hover_orbit_desc,"Makes a projectile float nearby its point of origin whimsically",,,,,,,,,,,,,
spell_apotheosis_potion_to_sea_desc,The first flask in your inventory is converted into a sea of the same material,,,,,,,,,,,,,
spell_apotheosis_orb_knowledge_desc_april_fools,"Tu Stultus Es. Casts an orb that grows alongside your knowledge, which you lack.",,,,,,,,,,,,,
status_apotheosis_celestial_infection_name,"Celestial Infection %d",,,,,,,,,,,,,
status_apotheosis_celestial_infection_desc,"You've been infected by a celestial being.\nYou feel your heart is having trouble beating.",,,,,,,,,,,,,
status_apotheosis_disable_homing_name,"Astray",,,,,,,,,,,,,
status_apotheosis_disable_homing_desc,"Your projectiles are unable to home onto targets!",,,,,,,,,,,,,
status_apotheosis_frosty_mist_name,"Frosty Misty",,,,,,,,,,,,,
status_apotheosis_frosty_mist_desc,"You can no longer teleport.\nYou feel a slime-like cold slowing your movements.",,,,,,,,,,,,,
status_apotheosis_lex_aeterna_name,"Anima Ardeat",,,,,,,,,,,,,
status_apotheosis_lex_aeterna_desc,"You take double damage from all sources!",,,,,,,,,,,,,
status_apotheosis_bald_name,"Bald",,,,,,,,,,,,,
status_apotheosis_bald_desc,"You are bald",,,,,,,,,,,,,
status_apotheosis_hide_max_health_name,"BLISS",,,,,,,,,,,,,
status_apotheosis_hide_max_health_desc,"YOU ARE IN BLISS, HARMONY IS UPON YOU.\nTRUST THAT PAIN IS PLEASURE.",,,,,,,,,,,,,
book_apotheosis_jellyfish_hint_name,"Stargazer's Observations",,,,,,,,,,,,,
book_apotheosis_jellyfish_hint_desc,"I love watching the night sky, sometimes if I'm very lucky I can spot what looks like a constellation of jellyfish at night.\nUnlike other constellations I can't seem to outline their shape at day.\nI wish I could capture them in my journal, I feel like they'd bring my words to life.",,,,,,,,,,,,,
item_apotheosis_orb_jellyfish_pearl_name,Celestial Pearl,,,,,,,,,,,,,
item_apotheosis_orb_jellyfish_pearl_desc,"You can see smaller jellyfish floating within.",,,,,,,,,,,,,
item_apotheosis_chest_abyssal,Abyssal Chest,,,,,,,,,,,,,
wand_apotheosis_spell_book_name,Taivaallinen Loitsukirja,,,,,,,,,,,,,
wand_apotheosis_chaos_wand_name,Kaaosauva,,,,,,,,,,,,,
wand_apotheosis_centipede_wand_name,Kierteinen Sauva,,,,,,,,,,,,,
perk_apotheosis_no_gold,Ceasement,,,,,,,,,,,,,
perk_apotheosis_no_gold_description,Enemies will no longer drop gold.,,,,,,,,,,,,,
perk_apotheosis_mimic,"Tinker with Wands everywhere...?",,,,,,,,,,,,,
perk_apotheosis_mimic_description,"Something feels off... Press [$0] to...?",,,,,,,,,,,,,
perk_apotheosis_mimic_description_progress,"Something feels off...",,,,,,,,,,,,,
perk_apotheosis_mimic_revealed,"Mimic Symbiosis",,,,,,,,,,,,,
perk_apotheosis_mimic_revealed_description,"A divine blessing allows you to tinker with wands, and your body, everywhere.\nPress [$0] to disguise.",,,,,,,,,,,,,
perk_apotheosis_mimic_tip,"Disguised",,,,,,,,,,,,,
perk_apotheosis_mimic_tip_desc,"Press [$0] to undisguise",,,,,,,,,,,,,
curse_apotheosis_hardcore_telebolt,"Teleport Bolt has a minimum reload time.",,,,,,,,,,,,,
log_apotheosis_spell_night_name,An eternal night befalls the world,,,,,,,,,,,,,
log_apotheosis_spell_night_desc,The stars have come out to play,,,,,,,,,,,,,
log_apotheosis_spell_light_name,The world is bathed in eternal sunlight,,,,,,,,,,,,,
log_apotheosis_spell_light_desc,Its radiance is beautiful,,,,,,,,,,,,,
log_apotheosis_shrine_lantern_failure_time,The lantern extinguishes itself...,,,,,,,,,,,,,
log_apotheosis_shrine_lantern_failure_fuel,You have nothing to light the lantern with,,,,,,,,,,,,,
